player_id,bat_matches,bat_innings,bat_runs,bat_highest,bat_average,bat_strike_rate,bat_100s,bat_50s,bat_4s,bat_6s,bowl_matches,bowl_innings,bowl_wickets,bowl_average,bowl_economy,bowl_best,catches,run_outs,stumpings,source
PLY0019,350,175,1850,42,13.25,128.4,0,0,160,55,350,345,420,22.8,8.0,5/12,75,8,0,curated
PLY0020,395,388,9680,118,29.42,143.2,2,52,875,375,12,6,5,42.0,7.8,2/18,148,16,0,curated
PLY0021,310,305,8550,99,29.85,137.5,0,42,760,310,0,0,0,0,0,0/0,110,13,0,curated
PLY0022,280,275,8200,94,30.15,134.8,0,40,720,295,0,0,0,0,0,0/0,95,11,0,curated
PLY0023,340,335,9350,105,29.5,139.2,1,50,850,345,0,0,0,0,0,0/0,125,15,0,curated
PLY0024,295,290,8100,88,29.25,135.6,0,38,700,285,0,0,0,0,0,0/0,100,12,0,curated
PLY0025,270,265,7850,102,28.65,142.8,1,35,695,310,0,0,0,0,0,0/0,90,10,0,curated
PLY0026,365,360,9750,95,29.1,136.4,0,52,880,355,0,0,0,0,0,0/0,140,17,0,curated
PLY0027,320,315,8650,97,28.95,138.8,0,44,770,330,50,28,35,30.5,7.5,4/18,115,14,0,curated
PLY0028,260,255,7500,91,28.5,133.2,0,32,660,275,25,15,18,35.8,8.2,2/20,85,10,0,curated
PLY0029,340,335,8950,103,29.35,140.5,1,48,810,340,0,0,0,0,0,0/0,130,16,0,curated
PLY0030,290,285,8200,89,29.8,135.8,0,38,730,300,0,0,0,0,0,0/0,105,12,0,curated
PLY0031,310,155,1350,28,10.8,122.5,0,0,110,42,310,308,445,19.2,7.4,6/14,70,8,0,curated
PLY0032,330,165,1420,30,11.5,118.4,0,0,118,38,330,325,405,21.5,7.8,5/16,65,7,0,curated
PLY0033,380,375,9250,100,30.15,137.4,0,55,840,350,65,35,42,28.8,7.2,4/15,150,18,0,curated
PLY0034,305,300,8500,94,29.5,134.2,0,42,760,305,0,0,0,0,0,0/0,108,13,0,curated
PLY0035,350,175,1680,38,12.65,126.8,0,0,142,48,350,345,410,22.2,8.0,5/15,72,9,0,curated
PLY0036,275,270,7800,96,28.85,136.5,0,35,680,290,0,0,0,0,0,0/0,92,11,0,curated
PLY0037,315,310,8150,88,28.65,133.8,0,38,720,295,40,22,28,34.2,8.5,3/20,100,12,0,curated
PLY0038,290,285,7650,92,28.2,135.2,0,33,665,280,35,20,25,35.5,8.0,3/18,88,10,0,curated
PLY0039,340,170,1520,35,11.85,124.2,0,0,128,42,340,335,430,20.5,7.5,5/18,68,8,0,curated
PLY0040,285,145,1380,32,11.45,121.8,0,0,115,40,285,280,380,19.8,7.2,6/12,60,7,0,curated
PLY0041,175,150,3978,73,26.52,120.92,2,9,455,296,0,0,0,0,0,0/0,56,9,0,curated
PLY0042,128,101,2330,54,23.07,114.45,1,5,231,138,0,0,0,0,0,0/0,31,5,0,curated
PLY0043,120,93,2093,51,22.51,113.39,1,5,202,118,0,0,0,0,0,0/0,28,4,0,curated
PLY0044,248,240,7641,109,31.84,130.89,5,18,1054,748,0,0,0,0,0,0/0,109,19,0,curated
PLY0045,249,241,7688,110,31.9,131.0,5,18,1062,755,0,0,0,0,0,0/0,109,19,0,curated
PLY0046,230,217,6628,100,30.55,128.46,4,16,876,611,0,0,0,0,0,0/0,94,16,0,curated
PLY0047,90,65,1320,40,20.32,109.28,0,3,115,62,0,0,0,0,0,0/0,16,2,2,curated
PLY0048,107,81,1746,46,21.56,111.61,1,4,161,91,0,0,0,0,0,0/0,22,3,3,curated
PLY0049,187,164,4496,79,27.41,122.59,3,10,532,352,0,0,0,0,0,0/0,63,10,10,curated
PLY0050,142,115,2770,59,24.1,116.37,1,6,287,176,0,0,0,0,0,0/0,38,6,6,curated
PLY0051,168,142,3691,70,26.0,119.93,2,8,414,266,0,0,0,0,0,0/0,52,8,8,curated
PLY0052,148,121,2974,62,24.58,117.28,2,7,315,196,0,0,0,0,0,0/0,41,6,6,curated
PLY0053,215,197,4597,73,23.34,118.74,3,11,585,401,215,188,47,20.66,8.01,5/29,83,14,0,curated
PLY0054,94,69,1422,42,20.62,109.85,1,3,125,68,94,61,9,16.26,6.52,2/13,18,2,0,curated
PLY0055,100,74,1262,35,17.06,105.66,0,3,113,63,100,66,10,16.47,6.6,2/14,20,3,0,curated
PLY0056,103,77,1636,45,21.25,111.03,1,3,149,83,103,68,9,16.89,7.63,2/14,21,3,0,curated
PLY0057,88,64,1050,32,16.42,104.32,0,2,90,48,88,56,7,16.23,7.45,2/12,16,2,0,curated
PLY0058,158,132,2673,53,20.26,112.33,1,6,291,184,158,121,22,19.43,8.32,3/22,46,7,0,curated
PLY0059,122,95,719,17,7.58,108.74,0,1,70,41,122,85,13,17.78,7.87,3/17,28,4,0,curated
PLY0060,141,120,969,22,8.08,116.64,0,1,109,71,141,111,21,16.48,8.48,4/23,44,7,0,curated
PLY0061,85,64,354,11,5.54,105.73,0,0,32,18,85,56,8,13.94,7.64,2/14,17,2,0,curated
PLY0062,131,109,831,20,7.63,114.7,0,1,90,57,131,101,18,16.03,8.33,3/22,38,6,0,curated
PLY0063,176,161,1559,30,9.69,123.52,0,3,198,135,176,153,33,18.09,9.0,5/29,67,11,0,curated
PLY0064,174,159,1523,29,9.58,123.06,0,3,192,131,174,151,33,17.98,8.97,5/29,66,11,0,curated
PLY0065,64,45,206,8,4.58,101.64,0,0,17,8,64,39,5,12.91,6.33,2/11,10,1,0,curated
PLY0066,167,150,1389,28,9.26,121.69,0,2,171,115,167,142,34,16.65,7.86,4/28,61,10,0,curated
PLY0067,94,72,426,13,5.93,107.41,0,0,40,23,94,64,11,13.98,6.77,2/16,21,3,0,curated
PLY0068,56,39,164,7,4.21,100.03,0,0,13,6,56,33,4,12.6,6.2,2/10,8,1,0,curated
PLY0069,151,132,1129,24,8.56,118.67,0,2,132,87,151,123,27,16.08,7.63,4/25,50,8,0,curated
PLY0070,95,73,437,13,5.99,107.68,0,0,41,24,95,65,11,14.03,6.79,3/16,21,3,0,curated
PLY0071,91,66,1346,41,20.4,109.43,0,3,117,63,0,0,0,0,0,0/0,17,2,0,curated
PLY0072,184,160,4349,77,27.18,122.16,3,10,510,336,0,0,0,0,0,0/0,62,10,0,curated
PLY0073,178,154,4116,74,26.73,121.31,2,9,475,310,0,0,0,0,0,0/0,58,9,0,curated
PLY0074,177,152,4052,74,26.66,121.17,2,9,466,304,0,0,0,0,0,0/0,57,9,0,curated
PLY0075,131,104,2428,55,23.35,114.96,1,5,244,146,0,0,0,0,0,0/0,33,5,0,curated
PLY0076,117,94,1867,49,19.87,95.88,1,3,194,119,0,0,0,0,0,0/0,31,5,0,curated
PLY0077,121,99,1997,50,20.18,96.46,1,3,210,130,0,0,0,0,0,0/0,33,5,5,curated
PLY0078,117,94,1867,49,19.86,95.87,1,3,194,119,0,0,0,0,0,0/0,31,5,5,curated
PLY0079,141,120,2590,59,21.59,99.1,1,5,293,189,0,0,0,0,0,0/0,44,7,7,curated
PLY0080,104,81,1531,44,18.91,94.09,0,3,151,90,0,0,0,0,0,0/0,25,4,4,curated
PLY0081,190,179,4505,82,25.17,105.82,2,9,596,416,0,0,0,0,0,0/0,78,13,13,curated
PLY0082,104,81,1533,44,18.93,94.12,0,3,151,90,0,0,0,0,0,0/0,25,4,4,curated
PLY0083,135,113,2390,56,21.16,98.3,1,4,264,169,135,105,19,16.2,8.38,4/22,41,6,0,curated
PLY0084,186,174,4325,80,24.86,105.23,2,8,565,392,186,166,33,21.09,8.94,5/31,75,13,0,curated
PLY0085,86,65,928,30,14.28,87.51,0,1,85,48,86,57,8,14.0,7.66,2/15,18,2,0,curated
PLY0086,179,165,4023,77,24.38,104.34,2,8,515,354,179,157,39,17.09,8.04,5/30,69,12,0,curated
PLY0087,108,85,1634,45,19.22,94.67,0,3,164,98,108,77,14,14.51,6.99,3/18,27,4,0,curated
PLY0088,207,201,4189,72,20.85,101.18,2,8,581,414,207,195,54,18.1,8.46,5/34,92,16,0,curated
PLY0089,207,202,2241,38,11.1,129.56,1,4,311,222,207,195,48,19.5,9.47,5/34,92,16,0,curated
PLY0090,78,57,297,10,5.22,104.37,0,0,26,14,78,50,6,13.62,7.53,2/13,15,2,0,curated
PLY0091,183,170,1702,32,10.02,124.93,0,3,221,152,183,163,37,18.42,9.11,5/30,73,12,0,curated
PLY0092,179,165,1617,30,9.8,124.01,0,3,207,142,179,157,35,18.2,9.04,5/30,69,12,0,curated
PLY0093,163,145,1317,27,9.09,120.94,0,2,160,107,163,137,28,17.49,8.81,4/27,58,10,0,curated
PLY0094,167,150,1390,28,9.27,121.73,0,2,171,115,167,142,30,17.67,8.87,4/28,61,10,0,curated
PLY0095,155,136,1188,25,8.74,119.45,0,2,141,93,155,128,29,16.23,7.69,4/26,53,9,0,curated
PLY0096,116,93,646,17,6.95,111.8,0,1,66,41,116,85,16,14.8,7.1,3/19,31,5,0,curated
PLY0097,104,81,518,14,6.4,109.42,0,1,51,30,104,73,13,14.36,6.92,3/17,25,4,0,curated
PLY0098,176,161,1557,30,9.67,123.45,0,3,197,135,176,153,38,16.98,8.0,5/29,67,11,0,curated
PLY0099,87,65,366,12,5.63,106.15,0,0,33,19,87,58,9,13.75,6.67,2/15,18,2,0,curated
PLY0100,200,192,2066,36,10.76,128.13,1,4,281,198,200,185,50,17.85,8.36,5/33,86,15,0,curated
PLY0101,64,45,719,30,16.0,88.62,0,1,59,31,0,0,0,0,0,0/0,10,1,0,curated
PLY0102,106,83,1583,44,19.08,94.39,0,3,157,94,0,0,0,0,0,0/0,26,4,0,curated
PLY0103,134,112,2363,56,21.1,98.19,1,4,261,166,0,0,0,0,0,0/0,40,6,0,curated
PLY0104,117,95,1891,49,19.91,95.95,1,3,196,121,0,0,0,0,0,0/0,31,5,0,curated
PLY0105,102,79,1481,43,18.76,93.8,0,2,145,85,0,0,0,0,0,0/0,24,3,0,curated
PLY0106,84,63,1099,36,17.46,91.36,0,2,100,56,0,0,0,0,0,0/0,17,2,0,curated
PLY0107,59,41,640,28,15.62,87.92,0,1,51,26,0,0,0,0,0,0/0,9,1,1,curated
PLY0108,185,173,4298,80,24.85,105.21,2,8,561,389,0,0,0,0,0,0/0,74,13,13,curated
PLY0109,69,49,802,31,16.37,89.33,0,1,68,36,0,0,0,0,0,0/0,12,1,1,curated
PLY0110,62,44,697,29,15.86,88.35,0,1,57,29,0,0,0,0,0,0/0,10,1,1,curated
PLY0111,67,48,778,31,16.22,89.03,0,1,65,34,0,0,0,0,0,0/0,11,1,1,curated
PLY0112,158,139,3173,66,22.83,101.43,1,6,380,253,0,0,0,0,0,0/0,55,9,9,curated
PLY0113,201,193,5010,88,25.96,107.3,2,10,684,483,201,186,50,17.88,8.37,5/33,86,15,0,curated
PLY0114,162,144,3328,68,23.11,101.96,1,6,403,270,162,136,32,16.46,7.78,4/27,57,9,0,curated
PLY0115,73,53,882,33,16.65,89.84,0,1,76,41,73,46,6,13.38,7.46,2/12,13,1,0,curated
PLY0116,111,88,1708,46,19.41,95.03,0,3,173,105,111,80,13,15.11,8.02,3/18,28,4,0,curated
PLY0117,147,127,2234,49,17.6,94.41,1,4,258,169,147,118,23,16.76,8.57,4/24,48,8,0,curated
PLY0118,114,91,1436,38,15.79,90.64,0,2,147,90,114,83,14,15.26,8.07,3/19,30,4,0,curated
PLY0119,98,76,465,13,6.12,108.24,0,0,44,26,98,68,10,14.52,7.83,3/16,22,3,0,curated
PLY0120,106,84,547,15,6.51,109.92,0,1,54,32,106,75,12,14.91,7.96,3/18,26,4,0,curated
PLY0121,88,66,376,12,5.7,106.42,0,0,34,19,88,59,8,14.1,7.69,2/15,18,2,0,curated
PLY0122,70,50,243,9,4.87,102.86,0,0,20,11,70,44,5,13.27,7.42,2/12,12,1,0,curated
PLY0123,199,191,2044,36,10.7,127.87,1,4,277,195,199,184,44,19.1,9.34,5/33,85,15,0,curated
PLY0124,65,46,212,8,4.62,101.79,0,0,17,9,65,40,5,13.02,7.34,2/11,10,1,0,curated
PLY0125,65,46,212,8,4.61,101.77,0,0,17,9,65,40,5,12.93,6.34,2/11,10,1,0,curated
PLY0126,94,72,429,13,5.97,107.57,0,0,40,23,94,64,11,14.01,6.78,3/16,21,3,0,curated
PLY0127,76,56,287,10,5.13,103.97,0,0,25,13,76,49,7,13.34,6.5,2/13,14,2,0,curated
PLY0128,170,154,1445,28,9.38,122.22,0,2,179,122,170,146,35,16.75,7.9,4/28,63,10,0,curated
PLY0129,185,173,1746,32,10.1,125.27,1,3,227,158,185,165,42,17.32,8.14,5/31,74,13,0,curated
PLY0130,102,80,505,14,6.32,109.07,0,1,49,29,102,71,12,14.29,6.9,3/17,24,3,0,curated
PLY0131,186,174,4328,80,24.88,105.27,2,8,566,392,0,0,0,0,0,0/0,75,13,0,curated
PLY0132,141,120,2594,59,21.62,99.17,1,5,294,190,0,0,0,0,0,0/0,44,7,0,curated
PLY0133,188,176,4408,81,25.05,105.6,2,8,580,404,0,0,0,0,0,0/0,76,13,0,curated
PLY0134,127,105,2162,53,20.59,97.23,1,4,233,146,0,0,0,0,0,0/0,36,6,0,curated
PLY0135,67,48,778,31,16.22,89.03,0,1,65,34,0,0,0,0,0,0/0,11,1,0,curated
PLY0136,202,195,5076,88,26.03,107.44,2,10,695,492,0,0,0,0,0,0/0,87,15,0,curated
PLY0137,68,49,798,31,16.29,89.17,0,1,67,35,0,0,0,0,0,0/0,11,1,1,curated
PLY0138,123,101,2050,51,20.3,96.69,1,4,217,135,0,0,0,0,0,0/0,34,5,5,curated
PLY0139,174,159,3817,74,24.01,103.64,2,7,481,328,0,0,0,0,0,0/0,66,11,11,curated
PLY0140,90,68,1216,38,17.9,92.18,0,2,113,64,0,0,0,0,0,0/0,19,3,3,curated
PLY0141,144,124,2708,60,21.85,99.59,1,5,310,201,0,0,0,0,0,0/0,46,7,7,curated
PLY0142,180,166,4064,77,24.49,104.54,2,8,522,360,0,0,0,0,0,0/0,70,12,12,curated
PLY0143,183,170,4198,79,24.69,104.93,2,8,544,376,183,162,32,20.97,8.91,5/30,73,12,0,curated
PLY0144,127,105,2160,53,20.57,97.2,1,4,232,146,127,96,14,17.88,8.29,3/21,36,6,0,curated
PLY0145,102,80,1503,43,18.79,93.86,0,3,147,87,102,72,9,16.54,8.01,3/17,24,3,0,curated
PLY0146,165,148,2747,55,18.56,96.42,1,5,336,226,165,140,29,17.57,8.83,4/27,59,10,0,curated
PLY0147,147,127,2798,61,22.03,99.94,1,5,323,211,147,118,26,15.92,7.56,4/24,48,8,0,curated
PLY0148,201,193,3964,69,20.54,100.54,2,7,541,383,201,187,50,17.89,8.37,5/33,87,15,0,curated
PLY0149,140,119,957,21,8.04,116.47,0,1,108,69,140,110,21,16.44,8.46,4/23,44,7,0,curated
PLY0150,80,59,313,11,5.32,104.8,0,0,28,15,80,52,7,13.72,7.57,2/13,15,2,0,curated
PLY0151,91,69,400,12,5.8,106.86,0,0,37,21,91,61,9,14.2,7.73,2/15,19,3,0,curated
PLY0152,197,188,1995,35,10.61,127.49,1,3,269,189,197,181,43,19.01,9.31,5/32,83,14,0,curated
PLY0153,159,141,1257,26,8.92,120.21,0,2,151,101,159,132,27,17.32,8.75,4/26,55,9,0,curated
PLY0154,57,40,170,7,4.27,100.28,0,0,13,6,57,34,4,12.67,7.22,2/10,8,1,0,curated
PLY0155,188,176,1796,33,10.21,125.74,1,3,236,164,188,169,43,17.4,8.17,5/31,76,13,0,curated
PLY0156,157,138,1216,25,8.82,119.78,0,2,145,96,157,130,30,16.29,7.72,4/26,54,9,0,curated
PLY0157,63,46,192,8,4.17,104.77,0,0,17,9,63,41,6,10.6,6.57,2/13,12,1,0,curated
PLY0158,104,87,526,16,6.05,115.02,0,0,57,36,104,80,16,12.1,7.35,4/22,31,5,0,curated
PLY0159,162,157,1366,30,8.7,129.48,0,2,189,135,162,152,42,14.22,8.46,5/34,72,12,0,curated
PLY0160,144,134,1051,25,7.85,124.8,0,1,136,94,144,128,32,13.54,8.1,5/30,57,10,0,curated
PLY0161,148,128,2829,62,22.11,100.08,1,5,327,214,0,0,0,0,0,0/0,48,8,0,curated
PLY0162,99,77,1427,42,18.54,93.38,0,2,138,81,0,0,0,0,0,0/0,23,3,0,curated
PLY0163,61,43,678,29,15.78,88.21,0,1,55,28,0,0,0,0,0,0/0,9,1,0,curated
PLY0164,58,40,622,28,15.57,87.81,0,1,50,25,0,0,0,0,0,0/0,8,1,0,curated
PLY0165,94,72,1310,40,18.21,92.76,0,2,124,72,0,0,0,0,0,0/0,21,3,0,curated
PLY0166,123,101,2054,51,20.34,96.76,1,4,218,136,0,0,0,0,0,0/0,34,5,0,curated
PLY0167,128,106,2189,53,20.66,97.36,1,4,236,149,0,0,0,0,0,0/0,37,6,6,curated
PLY0168,124,102,2081,52,20.4,96.88,1,4,222,139,0,0,0,0,0,0/0,35,5,5,curated
PLY0169,194,184,4685,84,25.47,106.37,2,9,627,440,0,0,0,0,0,0/0,81,14,14,curated
PLY0170,147,127,2798,61,22.04,99.95,1,5,323,211,0,0,0,0,0,0/0,48,8,8,curated
PLY0171,115,92,1815,48,19.73,95.62,1,3,187,114,0,0,0,0,0,0/0,30,4,4,curated
PLY0172,125,103,2105,52,20.44,96.96,1,4,225,141,0,0,0,0,0,0/0,35,5,5,curated
PLY0173,111,88,1711,46,19.45,95.1,0,3,174,105,111,80,15,14.63,7.03,3/19,28,4,0,curated
PLY0174,121,99,1994,50,20.14,96.39,1,3,210,130,121,90,17,14.97,7.17,3/20,33,5,0,curated
PLY0175,64,45,588,24,13.08,85.0,0,1,49,25,64,39,5,12.92,6.33,2/11,10,1,0,curated
PLY0176,112,89,1733,47,19.48,95.14,1,3,176,107,112,81,11,17.06,8.12,3/19,29,4,0,curated
PLY0177,166,149,2779,56,18.65,96.61,1,5,342,231,166,141,30,17.64,8.86,4/28,60,10,0,curated
PLY0178,105,82,1252,35,15.28,89.58,0,2,124,74,105,74,11,14.83,7.93,3/17,25,4,0,curated
PLY0179,143,122,1000,22,8.2,117.14,0,2,114,74,143,114,22,16.6,8.51,4/24,45,7,0,curated
PLY0180,99,77,475,14,6.17,108.46,0,0,46,27,99,69,10,14.57,7.85,3/17,23,3,0,curated
PLY0181,145,125,1035,23,8.29,117.51,0,2,119,77,145,116,22,16.69,8.54,4/24,47,7,0,curated
PLY0182,106,89,547,16,6.15,115.57,0,0,60,38,106,82,15,12.75,8.39,4/22,32,5,0,curated
PLY0183,63,46,193,8,4.2,104.89,0,0,17,9,63,41,5,10.8,7.57,2/14,12,1,0,curated
PLY0184,130,116,838,21,7.23,121.42,0,1,102,69,130,110,23,13.83,8.84,4/27,47,8,0,curated
PLY0185,120,105,713,19,6.79,119.04,0,1,84,55,120,98,22,12.69,7.66,4/25,40,6,0,curated
PLY0186,161,156,1351,29,8.66,129.24,0,2,187,133,161,151,41,14.19,8.44,5/34,71,12,0,curated
PLY0187,51,36,131,6,3.66,101.94,0,0,10,5,51,31,4,10.19,6.35,2/11,8,1,0,curated
PLY0188,50,35,126,6,3.6,101.65,0,0,10,5,50,30,4,10.14,6.33,2/11,8,1,0,curated
PLY0189,49,34,120,6,3.55,101.34,0,0,9,5,49,30,4,10.1,6.3,2/11,8,1,0,curated
PLY0190,78,60,292,11,4.88,108.6,0,0,28,16,78,54,9,11.16,6.86,3/17,18,2,0,curated
PLY0191,148,128,2836,62,22.16,100.17,1,5,329,216,0,0,0,0,0,0/0,48,8,0,curated
PLY0192,56,39,601,27,15.42,87.54,0,1,48,24,0,0,0,0,0,0/0,8,1,0,curated
PLY0193,121,99,1993,50,20.14,96.39,1,3,210,130,0,0,0,0,0,0/0,33,5,0,curated
PLY0194,114,91,1790,48,19.68,95.52,1,3,184,112,0,0,0,0,0,0/0,30,4,0,curated
PLY0195,196,187,4789,85,25.61,106.65,2,9,645,453,0,0,0,0,0,0/0,83,14,0,curated
PLY0196,109,86,1661,46,19.32,94.84,0,3,167,101,0,0,0,0,0,0/0,27,4,0,curated
PLY0197,98,76,1406,42,18.5,93.32,0,2,135,79,0,0,0,0,0,0/0,22,3,3,curated
PLY0198,176,161,3885,75,24.13,103.88,2,7,492,337,0,0,0,0,0,0/0,67,11,11,curated
PLY0199,189,178,4467,82,25.1,105.68,2,8,589,410,0,0,0,0,0,0/0,77,13,13,curated
PLY0200,172,156,3724,73,23.88,103.39,2,7,467,318,0,0,0,0,0,0/0,64,11,11,curated
PLY0201,202,195,5083,89,26.07,107.51,2,10,697,493,0,0,0,0,0,0/0,88,15,15,curated
PLY0202,184,171,4226,79,24.71,104.96,2,8,548,379,0,0,0,0,0,0/0,73,12,12,curated
PLY0203,74,54,905,33,16.76,90.05,0,1,79,42,74,47,5,15.02,7.71,2/13,13,2,0,curated
PLY0204,151,131,2925,63,22.33,100.5,1,5,342,225,151,123,24,16.93,8.62,4/25,50,8,0,curated
PLY0205,81,63,753,27,11.97,70.31,0,1,74,44,81,57,9,11.62,7.92,3/17,19,3,0,curated
PLY0206,96,78,995,32,12.76,71.95,0,1,105,65,96,72,12,12.28,8.2,3/20,26,4,0,curated
PLY0207,105,88,1458,44,16.57,77.14,0,2,161,102,105,81,17,12.14,7.37,4/22,31,5,0,curated
PLY0208,121,106,1880,51,17.74,79.32,0,2,222,147,121,99,22,12.72,7.67,4/26,41,7,0,curated
PLY0209,67,50,218,9,4.38,105.86,0,0,19,11,67,44,6,10.98,7.65,2/14,13,2,0,curated
PLY0210,68,51,225,9,4.42,106.11,0,0,20,11,68,45,6,11.02,7.67,2/15,14,2,0,curated
PLY0211,77,59,283,10,4.8,108.19,0,0,27,15,77,53,8,11.4,7.83,3/16,17,2,0,curated
PLY0212,152,144,1184,27,8.23,126.87,0,1,158,110,152,138,32,14.83,9.26,5/32,63,11,0,curated
PLY0213,90,72,388,13,5.4,111.46,0,0,39,24,90,66,11,12.0,8.08,3/19,23,3,0,curated
PLY0214,131,118,857,22,7.27,121.65,0,1,105,71,131,111,23,13.87,8.86,4/28,48,8,0,curated
PLY0215,132,119,869,22,7.31,121.85,0,1,107,72,132,112,27,13.11,7.88,4/28,48,8,0,curated
PLY0216,118,103,690,19,6.7,118.57,0,1,80,53,118,96,21,12.62,7.62,4/25,39,6,0,curated
PLY0217,156,149,1256,28,8.43,127.98,0,1,170,120,156,144,38,14.0,8.35,5/33,67,11,0,curated
PLY0218,78,60,293,11,4.89,108.66,0,0,28,16,78,54,9,11.17,6.86,3/17,18,2,0,curated
PLY0219,141,130,1003,24,7.72,124.1,0,1,128,88,141,124,31,13.44,8.05,5/30,55,9,0,curated
PLY0220,69,52,232,9,4.48,106.42,0,0,21,12,69,46,7,10.84,6.69,2/15,14,2,0,curated
PLY0221,182,169,4156,78,24.59,104.74,2,8,537,370,0,0,0,0,0,0/0,72,12,0,curated
PLY0222,149,129,2861,62,22.18,100.22,1,5,332,218,0,0,0,0,0,0/0,49,8,0,curated
PLY0223,127,113,2057,54,18.2,80.19,0,3,250,167,0,0,0,0,0,0/0,45,7,0,curated
PLY0224,92,74,1155,38,15.61,75.33,0,1,120,73,0,0,0,0,0,0/0,24,4,0,curated
PLY0225,151,143,2846,65,19.91,83.39,1,4,379,265,0,0,0,0,0,0/0,62,11,0,curated
PLY0226,118,103,1806,49,17.54,78.95,0,2,211,139,0,0,0,0,0,0/0,39,6,0,curated
PLY0227,85,67,1013,36,15.12,74.41,0,1,101,61,0,0,0,0,0,0/0,21,3,3,curated
PLY0228,76,58,838,32,14.46,73.18,0,1,80,47,0,0,0,0,0,0/0,17,2,2,curated
PLY0229,145,135,2633,63,19.5,82.63,1,4,343,238,0,0,0,0,0,0/0,58,10,10,curated
PLY0230,117,101,1762,49,17.45,78.77,0,2,205,134,0,0,0,0,0,0/0,38,6,6,curated
PLY0231,49,34,425,23,12.51,69.52,0,0,35,18,0,0,0,0,0,0/0,8,1,1,curated
PLY0232,76,58,837,32,14.44,73.13,0,1,80,46,0,0,0,0,0,0/0,17,2,2,curated
PLY0233,122,107,1905,51,17.81,79.45,0,2,226,150,122,100,23,12.75,7.69,4/26,42,7,0,curated
PLY0234,139,128,2439,59,19.06,81.79,1,3,310,213,139,121,30,13.38,8.02,5/29,53,9,0,curated
PLY0235,84,66,993,35,15.05,74.29,0,1,99,59,84,60,8,13.22,8.07,3/18,21,3,0,curated
PLY0236,142,131,2526,61,19.28,82.22,1,3,325,224,142,125,24,16.39,8.89,5/30,56,9,0,curated
PLY0237,61,45,489,22,10.87,68.02,0,0,43,23,61,39,5,10.71,7.54,2/13,11,1,0,curated
PLY0238,95,77,978,32,12.71,71.86,0,1,103,64,95,71,12,12.24,8.18,3/20,26,4,0,curated
PLY0239,58,42,166,7,3.96,103.59,0,0,14,7,58,37,5,10.56,7.48,2/12,10,1,0,curated
PLY0240,130,117,847,21,7.24,121.52,0,1,104,70,130,110,23,13.84,8.85,4/27,47,8,0,curated
PLY0241,102,85,506,15,5.96,114.52,0,0,55,34,102,78,14,12.56,8.31,3/22,30,5,0,curated
PLY0242,150,142,1158,26,8.16,126.49,0,1,153,107,150,136,31,14.76,9.23,5/32,62,10,0,curated
PLY0243,59,43,171,8,3.99,103.74,0,0,14,8,59,37,5,10.59,7.49,2/13,11,1,0,curated
PLY0244,49,34,120,6,3.53,101.26,0,0,9,5,49,30,3,10.13,7.3,2/11,7,1,0,curated
PLY0245,96,78,442,14,5.67,112.93,0,0,46,29,96,72,14,11.8,7.19,3/20,26,4,0,curated
